LOJA DE BEBIDAS                                                                                                                                          16/05/2023 10:55
------------------------------------------------------------------------------------------------------------------------------------------------------------------------

                                                                         ESTOQUE E LUCRO BRUTO
                                                                      Empresa: 1 - LOJA DE BEBIDAS
                                                                    Período: 08/05/2023 a 16/05/2023
                                                                            Modo: ANALÍTICO
                                                                       Lucro base: VALOR DO CUSTO
                                                                        Tipo custo: ÚLTIMO CUSTO
                                                                     Exibir: APENAS PRODUTOS ATIVOS


                                                                           VENDA DE PRODUTOS

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Grupo produto: 2 - BEBIDAS NAO ALCOOLICAS                                                                                                                                      |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
|                Produto                          | Qt. compra |   Unit. | Vl. compra |  Qt. venda |   Unit. | Vl. venda. |    Lucro    |  % Lucro | Qt. estoque |  Vl. estoque  |
| 952099 - REFRI. PEPSI BLACK ZERO 350ML          |       0,00 |   2,150 |       0,00 |       0,00 |   2,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 1013 - REFRIGERANTE  COCA COLA 600ML            |      12,00 |   4,390 |      52,68 |       6,00 |   7,990 |      47,94 |       21,60 |    82,00 |       17,00 |         74,63 |
| 952212 - REFRIGERANTE COCA COLA 220ML           |      36,00 |   2,223 |      80,04 |      18,00 |   4,000 |      72,00 |       33,19 |    85,52 |       40,00 |         90,40 |
| 816919 - REFRIGERANTE COCA COLA 2L              |       6,00 |   8,190 |      49,14 |       5,00 |  12,990 |      64,95 |       24,00 |    58,61 |       37,00 |        303,03 |
| 555 - REFRIGERANTE COCA COLA ZERO 225L          |      24,00 |   7,940 |     190,56 |       5,00 |  12,990 |      64,95 |       25,10 |    62,99 |       24,00 |        189,36 |
| 948 - REFRIGERANTE COCA COLA ZERO 600ML         |      12,00 |   4,390 |      52,68 |       1,00 |   7,990 |       7,99 |        3,60 |    82,00 |       24,00 |        105,36 |
| 1011 - REFRIGERANTE FANTA LARANJA 350ML         |       0,00 |   2,690 |       0,00 |       1,00 |   4,990 |       4,99 |        2,30 |    85,50 |       10,00 |         26,90 |
| 816828 - REFRIGERANTE FANTA MISTERIO 350ML      |       0,00 |   2,440 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 557 - REFRIGERANTE PEPSI COLA 2L                |       0,00 |   6,290 |       0,00 |       2,00 |   9,990 |      19,98 |        7,40 |    58,82 |       18,00 |        113,22 |
| 559 - REFRIGERANTE PEPSI COLA 350ML             |       0,00 |   1,990 |       0,00 |       3,00 |   4,750 |      14,25 |        8,28 |   138,69 |       16,00 |         31,84 |
| 952166 - REFRIGERANTE PEPSI TWIST 2L            |       0,00 |   5,730 |       0,00 |       4,00 |   9,990 |      39,96 |       17,04 |    74,35 |        4,00 |         22,92 |
| 816534 - REFRIGERANTE PEPSI TWIST 350ML         |       0,00 |   1,990 |       0,00 |       1,00 |   4,750 |       4,75 |        2,76 |   138,69 |       15,00 |         29,85 |
| 333222245 - REFRIGERANTE SABORES PRODUCAO       |       2,00 |  12,750 |      25,50 |       0,00 |  12,750 |       0,00 |        0,00 |     0,00 |       94,00 |      1.198,50 |
| 816346 - REFRIGERANTE SCHWEPPES CITRUS 1,5L     |       0,00 |   6,390 |       0,00 |       1,00 |  10,990 |      10,99 |        4,60 |    71,99 |        9,00 |         57,51 |
| 1010 - REFRIGERANTE SPRITE LIMAO 2L             |       6,00 |   6,390 |      38,34 |       2,00 |  10,500 |      21,00 |        8,22 |    64,32 |        8,00 |         51,12 |
| 1214 - REFRIGERANTE SPRITE LIMAO 350ML          |       0,00 |   2,380 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 333222191 - REFRIGERANTE TANG LIMAO             |       0,00 |   0,890 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |       21,00 |         18,69 |
| 500 - SCHWEPPES CITRUS 350ML                    |       0,00 |   3,050 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 405 - SUCO AMPM NECTAR 50 GOIABA 335ML          |       0,00 |   2,810 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 14 - SUCO AMPM NECTAR 50 MANGA 335ML            |       0,00 |   2,550 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 406 - SUCO AMPM NECTAR LARANJA 335ML            |       0,00 |   2,550 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 16 - SUCO AMPM NECTAR PESSEGO 355ML             |       0,00 |   2,750 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 404 - SUCO AMPM NECTAR UVA 355ML                |       0,00 |   2,750 |       0,00 |       0,00 |   4,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 952034 - SUCO DEL VALLE FRESH LARANJA 200ML     |       0,00 |   1,690 |       0,00 |       2,00 |   2,500 |       5,00 |        1,62 |    47,93 |       17,00 |         28,73 |
| 952033 - SUCO DEL VALLE FRESH LIMAO 200ML       |       0,00 |   1,690 |       0,00 |       1,00 |   2,500 |       2,50 |        0,81 |    47,93 |       24,00 |         40,56 |
| 333222207 - SUCO DEL VALLE MANGA 290ML          |       0,00 |   3,190 |       0,00 |       1,00 |   5,990 |       5,99 |        2,80 |    87,77 |        6,00 |         19,14 |
| 813584 - SUCO DEL VALLE MARACUJA 290ML          |       0,00 |   3,190 |       0,00 |       0,00 |   5,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 816697 - SUCO DEL VALLE NECTAR PESSEGO 290ML    |       0,00 |   3,190 |       0,00 |       3,00 |   5,990 |      17,97 |        8,40 |    87,77 |        7,00 |         22,33 |
| 816676 - SUCO DEL VALLE NECTAR UVA 290ML        |       0,00 |   3,190 |       0,00 |       2,00 |   5,990 |      11,98 |        5,60 |    87,77 |        6,00 |         19,14 |
| 952153 - SUCO GULA LA GOIABA 260ML              |       0,00 |   3,120 |       0,00 |       0,00 |   5,500 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 952151 - SUCO GULA LA MARACUJA 260ML            |       0,00 |   3,120 |       0,00 |       0,00 |   5,500 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 952152 - SUCO GULA LA PESSEGO 260ML             |       0,00 |   3,120 |       0,00 |       1,00 |   5,500 |       5,50 |        2,38 |    76,28 |        7,00 |         21,84 |
| 952154 - SUCO GULA LA UVA 260ML                 |       6,00 |   3,120 |      18,72 |       1,00 |   5,500 |       5,50 |        2,38 |    76,28 |        5,00 |         15,60 |
| 816734 - SUCO KAPO LARANJA 200ML                |       0,00 |   2,290 |       0,00 |       1,00 |   3,750 |       3,75 |        1,46 |    63,76 |        7,00 |         16,03 |
| 816505 - SUCO KAPO MORANGO 200ML                |       0,00 |   2,290 |       0,00 |       1,00 |   3,750 |       3,75 |        1,46 |    63,76 |        8,00 |         18,32 |
| 810564 - SUCO KAPO UVA 200ML                    |       0,00 |   2,290 |       0,00 |       4,00 |   3,750 |      15,00 |        5,84 |    63,76 |       13,00 |         29,77 |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
| Total grupo                                     |     534,00 |         |   1.733,96 |     461,00 |         |   2.531,50 |    1.313,26 |   107,80 |    1.646,00 |      5.779,01 |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Grupo produto: 3 - BEBIDAS ALCOOLICAS                                                                                                                                          |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
|                Produto                          | Qt. compra |   Unit. | Vl. compra |  Qt. venda |   Unit. | Vl. venda. |    Lucro    |  % Lucro | Qt. estoque |  Vl. estoque  |
+-------------------------------------------------+------------+---------+------------+------------+---------+------------+-------------+----------+-------------+---------------+
| 2099 - BEBIDA ICE SMIRNOFF ICE RED 275ML        |       0,00 |   6,990 |       0,00 |      12,00 |  12,200 |     146,40 |       62,52 |    74,54 |       13,00 |         90,87 |
| 63 - CERVEJA AMSTEL LAGER PREMIUM 473ML LATA    |      12,00 |   3,490 |      41,88 |      21,00 |   6,500 |     136,50 |       61,11 |    81,06 |       32,00 |        111,68 |
| 952229 - CERVEJA AMSTEL ULTRA  275ML            |       0,00 |   1,505 |       0,00 |       0,00 |   5,990 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 79 - CERVEJA ANTARCTICA PILSEN 473ML LATAO      |      24,00 |   3,650 |      87,60 |      11,00 |   6,500 |      71,50 |       31,35 |    78,08 |       35,00 |        127,75 |
| 813645 - CERVEJA BECKS PREMIUM MALTE 330ML      |       0,00 |   4,630 |       0,00 |       0,00 |   7,500 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 66 - CERVEJA BOHEMIA PILSEN 473ML LATAO         |       0,00 |   3,900 |       0,00 |       3,00 |   5,990 |      17,97 |        6,27 |    53,59 |       34,00 |        132,60 |
| 81 - CERVEJA BRAHMA CHOPP 473ML LATAO           |      24,00 |   3,750 |      90,00 |      14,00 |   6,500 |      91,00 |       38,50 |    73,33 |       47,00 |        176,25 |
| 333222117 - CERVEJA BRAHMA DUPLO MALTE  473ML   |      36,00 |   4,100 |     147,60 |      10,00 |   5,894 |      58,94 |       17,94 |    43,76 |       45,00 |        184,50 |
| 813553 - CERVEJA BRAHMA DUPLO MALTE PILSEN 350M |       0,00 |   3,510 |       0,00 |       2,00 |   5,990 |      11,98 |        4,96 |    70,66 |        7,00 |         24,57 |
| 1223 - CERVEJA BUDWEISER LONG 330ML             |      24,00 |   3,990 |      95,76 |       6,00 |   6,500 |      39,00 |       13,80 |    54,76 |       25,00 |         99,75 |
| 810821 - CERVEJA CORONA PILSEN 330ML            |       0,00 |   5,310 |       0,00 |       7,00 |   8,990 |      62,93 |       25,76 |    69,30 |       33,00 |        175,23 |
| 952231 - CERVEJA EISENBAHN HILDA SESSION 350ML  |       0,00 |   4,490 |       0,00 |       0,00 |   8,500 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
| 952233 - CERVEJA EISENBAHN PALE ALE 350ML       |       0,00 |   4,790 |       0,00 |       0,00 |   8,500 |       0,00 |        0,00 |     0,00 |        0,00 |          0,00 |
